"obs_datetime","temp","activ"
2014-11-03 12:50:00,36.98,0
2014-11-03 13:00:00,37.01,0
2014-11-03 13:10:00,36.97,0
2014-11-03 13:20:00,36.97,0
2014-11-03 13:30:00,37.12,0
2014-11-03 13:40:00,37.13,0
2014-11-03 13:50:00,37.14,0
2014-11-03 14:00:00,37.15,0
2014-11-03 14:10:00,37.17,0
2014-11-03 14:20:00,37.12,0
2014-11-03 14:30:00,37.12,0
2014-11-03 14:40:00,37.17,0
2014-11-03 14:50:00,37.28,0
2014-11-03 15:00:00,37.28,0
2014-11-03 15:10:00,37.44,0
2014-11-03 15:20:00,37.51,0
2014-11-03 15:30:00,37.64,0
2014-11-03 15:40:00,37.51,0
2014-11-03 15:50:00,37.98,1
2014-11-03 16:00:00,38.02,1
2014-11-03 16:10:00,38,1
2014-11-03 16:20:00,38.24,1
2014-11-03 16:30:00,38.1,1
2014-11-03 16:40:00,38.24,1
2014-11-03 16:50:00,38.11,1
2014-11-03 17:00:00,38.02,1
2014-11-03 17:10:00,38.11,1
2014-11-03 17:20:00,38.01,1
2014-11-03 17:30:00,37.91,1
2014-11-03 17:40:00,37.96,1
2014-11-03 17:50:00,38.03,1
2014-11-03 18:00:00,38.17,1
2014-11-03 18:10:00,38.19,1
2014-11-03 18:20:00,38.18,1
2014-11-03 18:30:00,38.15,1
2014-11-03 18:40:00,38.04,1
2014-11-03 18:50:00,37.96,1
2014-11-03 19:00:00,37.84,1
2014-11-03 19:10:00,37.83,1
2014-11-03 19:20:00,37.84,1
2014-11-03 19:30:00,37.74,1
2014-11-03 19:40:00,37.76,1
2014-11-03 19:50:00,37.76,1
2014-11-03 20:00:00,37.64,1
2014-11-03 20:10:00,37.63,1
2014-11-03 20:20:00,38.06,1
2014-11-03 20:30:00,38.19,1
2014-11-03 20:40:00,38.35,1
2014-11-03 20:50:00,38.25,1
2014-11-03 21:00:00,37.86,1
2014-11-03 21:10:00,37.95,1
2014-11-03 21:20:00,37.95,1
2014-11-03 21:30:00,37.76,1
2014-11-03 21:40:00,37.6,1
2014-11-03 21:50:00,37.89,1
2014-11-03 22:00:00,37.86,1
2014-11-03 22:10:00,37.71,1
2014-11-03 22:20:00,37.78,1
2014-11-03 22:30:00,37.82,1
2014-11-03 22:40:00,37.76,1
2014-11-03 22:50:00,37.81,1
2014-11-03 23:00:00,37.84,1
2014-11-03 23:10:00,38.01,1
2014-11-03 23:20:00,38.1,1
2014-11-03 23:30:00,38.15,1
2014-11-03 23:40:00,37.92,1
2014-11-03 23:50:00,37.64,1
2014-11-04 00:00:00,37.7,1
2014-11-04 00:10:00,37.46,1
2014-11-04 00:20:00,37.41,1
2014-11-04 00:30:00,37.46,1
2014-11-04 00:40:00,37.56,1
2014-11-04 00:50:00,37.55,1
2014-11-04 01:00:00,37.75,1
2014-11-04 01:10:00,37.76,1
2014-11-04 01:20:00,37.73,1
2014-11-04 01:30:00,37.77,1
2014-11-04 01:40:00,38.01,1
2014-11-04 01:50:00,38.04,1
2014-11-04 02:00:00,38.07,1
